statement,label
71 - 79 = -8,True
25 - 36 = -11,True
33 + 24 = 57,True
31 + 28 = 59,True
8 * 29 = 228,False
72 / 3 = 24,True
7 + 2 = 8,False
84 / 84 = 1,True
93 * 87 = 8091,True
52 * 77 = 4004,True
3 * 22 = 71,False
49 * 13 = 637,True
62 + 36 = 98,True
13 + 47 = 60,True
3 + 37 = 39,False
9 + 48 = 62,False
71 + 39 = 114,False
27 - 48 = -21,True
99 + 38 = 137,True
83 - 55 = 24,False
51 - 55 = -3,False
85 - 84 = -3,False
75 - 14 = 64,False
49 - 91 = -42,True
64 + 47 = 106,False
62 * 14 = 868,True
53 * 65 = 3450,False
20 + 86 = 106,True
28 - 18 = 7,False
71 + 10 = 76,False
70 * 96 = 6719,False
25 - 47 = -20,False
45 + 95 = 142,False
97 - 55 = 42,True
57 - 41 = 16,True
94 + 60 = 154,True
1 * 88 = 88,True
32 - 55 = -23,True
71 + 10 = 81,True
90 * 15 = 1346,False
69 * 55 = 3798,False
23 - 20 = 0,False
87 * 74 = 6443,False
27 + 58 = 85,True
64 + 52 = 116,True
25 + 68 = 93,True
56 * 72 = 4032,True
8 - 16 = -4,False
27 * 69 = 1863,True
83 * 64 = 5312,True
45 + 95 = 140,True
57 - 21 = 36,True
16 - 55 = -36,False
59 * 96 = 5669,False
44 * 98 = 4314,False
84 - 14 = 70,True
86 * 5 = 425,False
76 + 91 = 167,True
61 + 11 = 72,True
47 + 57 = 104,True
96 + 32 = 128,True
42 * 17 = 714,True
52 * 77 = 4003,False
89 * 87 = 7740,False
2 * 37 = 74,True
23 + 51 = 74,True
51 - 23 = 28,True
42 - 95 = -54,False
22 * 23 = 506,True
51 - 57 = -10,False
67 - 43 = 27,False
57 + 30 = 87,True
81 - 74 = 7,True
51 - 55 = -4,True
61 + 11 = 76,False
23 + 49 = 72,True
78 - 14 = 64,True
36 - 73 = -37,True
57 - 83 = -29,False
80 - 67 = 13,True
36 - 83 = -52,False
57 - 41 = 21,False
77 + 48 = 128,False
94 - 61 = 33,True
79 + 61 = 140,True
33 + 12 = 43,False
52 - 90 = -38,True
30 + 69 = 99,True
29 - 61 = -32,True
75 - 14 = 61,True
52 * 21 = 1092,True
6 * 6 = 36,True
46 + 61 = 105,False
85 + 11 = 92,False
25 - 19 = 7,False
41 + 84 = 125,True
14 - 70 = -56,True
5 + 25 = 30,True
83 - 46 = 39,False
83 * 1 = 84,False
24 * 1 = 24,True
4 + 9 = 14,False
97 - 55 = 44,False
86 + 67 = 156,False
46 * 8 = 370,False
95 - 77 = 13,False
62 - 85 = -23,True
36 - 44 = -8,True
92 + 4 = 96,True
62 * 32 = 1984,True
46 + 61 = 107,True
53 * 65 = 3445,True
17 * 81 = 1377,True
66 + 3 = 71,False
95 + 32 = 124,False
3 + 11 = 18,False
89 * 47 = 4179,False
56 * 46 = 2572,False
88 * 56 = 4925,False
83 * 64 = 5317,False
15 + 7 = 21,False
52 - 77 = -26,False
28 * 52 = 1459,False
10 + 91 = 104,False
28 * 52 = 1456,True
75 + 32 = 107,True
27 * 59 = 1593,True
43 + 89 = 127,False
55 - 57 = -3,False
89 - 39 = 49,False
15 + 73 = 88,True
30 + 24 = 54,True
