statement,label,city,country,correct_country
The city of Cimahi is not in Indonesia.,0,Cimahi,Indonesia,Indonesia
The city of Nakuru is not in Mexico.,1,Nakuru,Mexico,Kenya
The city of Malang is not in Ghana.,1,Malang,Ghana,Indonesia
The city of Ebute Ikorodu is not in Nigeria.,0,Ebute Ikorodu,Nigeria,Nigeria
The city of Guli is not in Mexico.,1,Guli,Mexico,China
The city of Thu GJuc is not in India.,1,Thu GJuc,India,Vietnam
The city of Sukkur is not in Pakistan.,0,Sukkur,Pakistan,Pakistan
The city of Tlalpan is not in Mexico.,0,Tlalpan,Mexico,Mexico
The city of Rasapudipalem is not in India.,0,Rasapudipalem,India,India
The city of Zibo is not in China.,0,Zibo,China,China
The city of Wanning is not in Nigeria.,1,Wanning,Nigeria,China
The city of Jhang Sadr is not in Pakistan.,0,Jhang Sadr,Pakistan,Pakistan
The city of Detroit is not in the United States.,0,Detroit,the United States,the United States
The city of Erode is not in Brazil.,1,Erode,Brazil,India
The city of Kaifeng is not in the Dominican Republic.,1,Kaifeng,the Dominican Republic,China
The city of Changde is not in China.,0,Changde,China,China
The city of Panshan is not in China.,0,Panshan,China,China
The city of Mbeya is not in Nigeria.,1,Mbeya,Nigeria,Tanzania
The city of Huludao is not in Jordan.,1,Huludao,Jordan,China
The city of Algiers is not in Algeria.,0,Algiers,Algeria,Algeria
The city of Dera Ismail Khan is not in Pakistan.,0,Dera Ismail Khan,Pakistan,Pakistan
The city of Kharkiv is not in Indonesia.,1,Kharkiv,Indonesia,Ukraine
The city of Vladivostok is not in Russia.,0,Vladivostok,Russia,Russia
The city of Al Mahallah al Kubra is not in Indonesia.,1,Al Mahallah al Kubra,Indonesia,Egypt
The city of Shangqiu is not in China.,0,Shangqiu,China,China
The city of Manaus is not in Brazil.,0,Manaus,Brazil,Brazil
The city of Hubballi is not in Pakistan.,1,Hubballi,Pakistan,India
The city of Kitakyushu is not in Japan.,0,Kitakyushu,Japan,Japan
The city of Pikine is not in Senegal.,0,Pikine,Senegal,Senegal
The city of Fes is not in Morocco.,0,Fes,Morocco,Morocco
The city of Istanbul is not in Turkey.,0,Istanbul,Turkey,Turkey
The city of Aqsu is not in India.,1,Aqsu,India,China
The city of Kananga is not in the Democratic Republic of the Congo.,0,Kananga,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Fort Worth is not in the United States.,0,Fort Worth,the United States,the United States
The city of Budta is not in the Philippines.,0,Budta,the Philippines,the Philippines
The city of Jilin is not in China.,0,Jilin,China,China
The city of Khartoum is not in Sudan.,0,Khartoum,Sudan,Sudan
The city of Matsuyama is not in Japan.,0,Matsuyama,Japan,Japan
The city of Macapa is not in Pakistan.,1,Macapa,Pakistan,Brazil
The city of Shekhupura is not in Indonesia.,1,Shekhupura,Indonesia,Pakistan
The city of Busan is not in South Korea.,0,Busan,South Korea,South Korea
The city of Zhabei is not in the Philippines.,1,Zhabei,the Philippines,China
The city of Anshan is not in China.,0,Anshan,China,China
The city of Itabashi is not in Japan.,0,Itabashi,Japan,Japan
The city of Minhang is not in Russia.,1,Minhang,Russia,China
The city of Sevastopol is not in Ukraine.,0,Sevastopol,Ukraine,Ukraine
The city of Moradabad is not in Pakistan.,1,Moradabad,Pakistan,India
The city of Qiqihar is not in Saudi Arabia.,1,Qiqihar,Saudi Arabia,China
The city of Calgary is not in Canada.,0,Calgary,Canada,Canada
The city of Giza is not in Egypt.,0,Giza,Egypt,Egypt
The city of Buraydah is not in Nigeria.,1,Buraydah,Nigeria,Saudi Arabia
The city of Chicago is not in the United States.,0,Chicago,the United States,the United States
The city of Mukalla is not in Azerbaijan.,1,Mukalla,Azerbaijan,Yemen
The city of Coimbatore is not in Brazil.,1,Coimbatore,Brazil,India
The city of Nowrangapur is not in India.,0,Nowrangapur,India,India
The city of Shangrao is not in China.,0,Shangrao,China,China
The city of Nanchong is not in Eritrea.,1,Nanchong,Eritrea,China
The city of Palembang is not in India.,1,Palembang,India,Indonesia
The city of Juiz de Fora is not in Ghana.,1,Juiz de Fora,Ghana,Brazil
The city of Bangkok is not in Angola.,1,Bangkok,Angola,Thailand
The city of Hachioji is not in Argentina.,1,Hachioji,Argentina,Japan
The city of Hermosillo is not in Vietnam.,1,Hermosillo,Vietnam,Mexico
The city of Borama is not in Somalia.,0,Borama,Somalia,Somalia
The city of Yibin is not in New Zealand.,1,Yibin,New Zealand,China
The city of Yaroslavl is not in China.,1,Yaroslavl,China,Russia
The city of Daxing'anling is not in Jordan.,1,Daxing'anling,Jordan,China
The city of Surakarta is not in the United States.,1,Surakarta,the United States,Indonesia
The city of Tiruppur is not in India.,0,Tiruppur,India,India
The city of Chattogram is not in Bangladesh.,0,Chattogram,Bangladesh,Bangladesh
The city of Queens is not in Angola.,1,Queens,Angola,the United States
The city of Zhangye is not in Malaysia.,1,Zhangye,Malaysia,China
The city of Tlaquepaque is not in China.,1,Tlaquepaque,China,Mexico
The city of Tabriz is not in China.,1,Tabriz,China,Iran
The city of Rawalpindi is not in Pakistan.,0,Rawalpindi,Pakistan,Pakistan
The city of Agege is not in South Africa.,1,Agege,South Africa,Nigeria
The city of Ashgabat is not in Turkmenistan.,0,Ashgabat,Turkmenistan,Turkmenistan
The city of Nuremberg is not in China.,1,Nuremberg,China,Germany
The city of Londrina is not in Russia.,1,Londrina,Russia,Brazil
The city of Lu'an is not in China.,0,Lu'an,China,China
The city of Saitama is not in Kazakhstan.,1,Saitama,Kazakhstan,Japan
The city of Santo Domingo Este is not in China.,1,Santo Domingo Este,China,the Dominican Republic
The city of Makhachkala is not in Malawi.,1,Makhachkala,Malawi,Russia
The city of Karol Bagh is not in Burkina Faso.,1,Karol Bagh,Burkina Faso,India
The city of Prayagraj is not in the Dominican Republic.,1,Prayagraj,the Dominican Republic,India
The city of Harare is not in Zimbabwe.,0,Harare,Zimbabwe,Zimbabwe
The city of Chisinau is not in Moldova.,0,Chisinau,Moldova,Moldova
The city of Xianyang is not in South Korea.,1,Xianyang,South Korea,China
The city of Dortmund is not in China.,1,Dortmund,China,Germany
The city of Dharavi is not in Russia.,1,Dharavi,Russia,India
The city of Feira de Santana is not in Brazil.,0,Feira de Santana,Brazil,Brazil
The city of Panjin is not in Russia.,1,Panjin,Russia,China
The city of Ajmer is not in Turkey.,1,Ajmer,Turkey,India
The city of Suez is not in Egypt.,0,Suez,Egypt,Egypt
The city of Hohhot is not in China.,0,Hohhot,China,China
The city of Baku is not in Indonesia.,1,Baku,Indonesia,Azerbaijan
The city of Bucaramanga is not in the Philippines.,1,Bucaramanga,the Philippines,Colombia
The city of Indore is not in India.,0,Indore,India,India
The city of Frankfurt am Main is not in Germany.,0,Frankfurt am Main,Germany,Germany
The city of Omsk is not in Turkey.,1,Omsk,Turkey,Russia
The city of Chiclayo is not in Peru.,0,Chiclayo,Peru,Peru
The city of Contagem is not in Malaysia.,1,Contagem,Malaysia,Brazil
The city of Latakia is not in Vietnam.,1,Latakia,Vietnam,Syria
The city of Cucuta is not in Colombia.,0,Cucuta,Colombia,Colombia
The city of Busan is not in Ecuador.,1,Busan,Ecuador,South Korea
The city of Naucalpan de Juarez is not in Angola.,1,Naucalpan de Juarez,Angola,Mexico
The city of Tokyo is not in Croatia.,1,Tokyo,Croatia,Japan
The city of Novosibirsk is not in Mozambique.,1,Novosibirsk,Mozambique,Russia
The city of Mengzi is not in Pakistan.,1,Mengzi,Pakistan,China
The city of Dakar is not in Senegal.,0,Dakar,Senegal,Senegal
The city of Yichang is not in Japan.,1,Yichang,Japan,China
The city of Yichang is not in China.,0,Yichang,China,China
The city of Borama is not in Bangladesh.,1,Borama,Bangladesh,Somalia
The city of Maceio is not in the Democratic Republic of the Congo.,1,Maceio,the Democratic Republic of the Congo,Brazil
The city of Asansol is not in China.,1,Asansol,China,India
The city of Bokaro is not in Russia.,1,Bokaro,Russia,India
The city of Jeonju is not in South Korea.,0,Jeonju,South Korea,South Korea
The city of Orenburg is not in Russia.,0,Orenburg,Russia,Russia
The city of Santiago de los Caballeros is not in the Dominican Republic.,0,Santiago de los Caballeros,the Dominican Republic,the Dominican Republic
The city of Xining is not in Turkey.,1,Xining,Turkey,China
The city of Mexicali is not in Cuba.,1,Mexicali,Cuba,Mexico
The city of Pelentong is not in Malaysia.,0,Pelentong,Malaysia,Malaysia
The city of Conakry is not in Myanmar.,1,Conakry,Myanmar,Guinea
The city of Yangpu is not in South Africa.,1,Yangpu,South Africa,China
The city of Deyang is not in China.,0,Deyang,China,China
The city of Shihezi is not in Jamaica.,1,Shihezi,Jamaica,China
The city of Kanpur is not in India.,0,Kanpur,India,India
The city of Muzaffarabad is not in Pakistan.,0,Muzaffarabad,Pakistan,Pakistan
The city of Quito is not in Malaysia.,1,Quito,Malaysia,Ecuador
The city of Lubango is not in Pakistan.,1,Lubango,Pakistan,Angola
The city of Handan is not in China.,0,Handan,China,China
The city of Cotonou is not in Benin.,0,Cotonou,Benin,Benin
The city of Shah Alam is not in Malaysia.,0,Shah Alam,Malaysia,Malaysia
