statement,label,country,cities,stated_k,actual_k
"Exactly 0 of the following cities are in Monaco: Guli, Bilimora, Shekhupura, Okayama, Al Fayyum.",1,Monaco,"('Al Fayyum', 'Bilimora', 'Guli', 'Okayama', 'Shekhupura')",0,0
"Exactly 5 of the following cities are in Honduras: Tolyatti, San Pedro Sula, Lahore, Bucharest, Tegucigalpa.",0,Honduras,"('Bucharest', 'Lahore', 'San Pedro Sula', 'Tegucigalpa', 'Tolyatti')",5,2
"Exactly 2 of the following cities are in Indonesia: Heroica Matamoros, Kikwit, Laiwu, Banjarmasin, Semarang.",1,Indonesia,"('Banjarmasin', 'Heroica Matamoros', 'Kikwit', 'Laiwu', 'Semarang')",2,2
"Exactly 3 of the following cities are in the Dominican Republic: Lubango, Santo Domingo Oeste, Aqsu, Santo Domingo Este, Santiago de los Caballeros.",1,the Dominican Republic,"('Aqsu', 'Lubango', 'Santiago de los Caballeros', 'Santo Domingo Este', 'Santo Domingo Oeste')",3,3
"Exactly 1 of the following cities are in Colombia: Ibague, Cucuta, Soacha, Tangier, Makassar.",0,Colombia,"('Cucuta', 'Ibague', 'Makassar', 'Soacha', 'Tangier')",1,3
"Exactly 0 of the following cities are in South Korea: Huangshi, Owerri, Kinshasa, Changwon, Reynosa.",0,South Korea,"('Changwon', 'Huangshi', 'Kinshasa', 'Owerri', 'Reynosa')",0,1
"Exactly 4 of the following cities are in South Africa: Soshanguve, Benoni, Zhanjiang, Seongnam-si, Johannesburg.",0,South Africa,"('Benoni', 'Johannesburg', 'Seongnam-si', 'Soshanguve', 'Zhanjiang')",4,3
"Exactly 1 of the following cities are in Uganda: Gurugram, Jeonju, Warangal, Kuala Lumpur, Paranaque City.",0,Uganda,"('Gurugram', 'Jeonju', 'Kuala Lumpur', 'Paranaque City', 'Warangal')",1,0
"Exactly 4 of the following cities are in Iran: Isfahan, Tehran, Zahedan, Pune, Arak.",1,Iran,"('Arak', 'Isfahan', 'Pune', 'Tehran', 'Zahedan')",4,4
"Exactly 0 of the following cities are in Spain: Kozhikode, Culiacan, Ciudad Nezahualcoyotl, Bauchi, Krakow.",1,Spain,"('Bauchi', 'Ciudad Nezahualcoyotl', 'Culiacan', 'Kozhikode', 'Krakow')",0,0
"Exactly 5 of the following cities are in Gabon: Mosul, Auckland, Puducherry, Wanning, Niluefer.",0,Gabon,"('Auckland', 'Mosul', 'Niluefer', 'Puducherry', 'Wanning')",5,0
"Exactly 1 of the following cities are in Madagascar: Thuan An, Vilnius, Hlaingthaya, Eskisehir, Cabinda.",0,Madagascar,"('Cabinda', 'Eskisehir', 'Hlaingthaya', 'Thuan An', 'Vilnius')",1,0
"Exactly 3 of the following cities are in Argentina: Qingdao, Tianjin, Moradabad, Tabriz, Budapest.",0,Argentina,"('Budapest', 'Moradabad', 'Qingdao', 'Tabriz', 'Tianjin')",3,0
