statement,label,countries,cities,stated_k1,stated_k2,actual_k1,actual_k2
"Exactly 4 of the following cities are in Rwanda and 1 in Angola: Calumbo, Camama, Lubango, Kikolo, Cabinda, Kigali.",0,"('Rwanda', 'Angola')","('Cabinda', 'Calumbo', 'Camama', 'Kigali', 'Kikolo', 'Lubango')",4,1,1,5
"Exactly 3 of the following cities are in Tajikistan and 1 in Lithuania: Oujda, Budapest, Dushanbe, Chiclayo, Maiduguri, Vilnius.",0,"('Tajikistan', 'Lithuania')","('Budapest', 'Chiclayo', 'Dushanbe', 'Maiduguri', 'Oujda', 'Vilnius')",3,1,1,1
"Exactly 3 of the following cities are in Kenya and 2 in South Africa: Nairobi, Kakamega, Pretoria, Cape Town, Evaton, Rasapudipalem.",0,"('Kenya', 'South Africa')","('Cape Town', 'Evaton', 'Kakamega', 'Nairobi', 'Pretoria', 'Rasapudipalem')",3,2,2,3
"Exactly 1 of the following cities are in Lebanon and 4 in Iraq: Al Basrah al Qadimah, Karbala, Al Mawsil al Jadidah, Abu Ghurayb, Handan, Beirut.",1,"('Lebanon', 'Iraq')","('Abu Ghurayb', 'Al Basrah al Qadimah', 'Al Mawsil al Jadidah', 'Beirut', 'Handan', 'Karbala')",1,4,1,4
"Exactly 2 of the following cities are in Kyrgyzstan and 1 in Yemen: Changchun, The Bronx, Jiangyin, Mukalla, Suizhou, Bishkek.",0,"('Kyrgyzstan', 'Yemen')","('Bishkek', 'Changchun', 'Jiangyin', 'Mukalla', 'Suizhou', 'The Bronx')",2,1,1,1
"Exactly 4 of the following cities are in Kenya and 1 in Guinea: Nairobi, Mombasa, Sholapur, Kakamega, Nakuru, Camayenne.",1,"('Kenya', 'Guinea')","('Camayenne', 'Kakamega', 'Mombasa', 'Nairobi', 'Nakuru', 'Sholapur')",4,1,4,1
"Exactly 3 of the following cities are in Ethiopia and 1 in France: Marseille, Aleppo, Toulouse, Lyon, Addis Ababa, Omdurman.",0,"('Ethiopia', 'France')","('Addis Ababa', 'Aleppo', 'Lyon', 'Marseille', 'Omdurman', 'Toulouse')",3,1,1,3
"Exactly 2 of the following cities are in Bangladesh and 3 in Jordan: Irbid, Zarqa, Mirpur Model Thana, Pallabi, Daxing'anling, Amman.",1,"('Bangladesh', 'Jordan')","('Amman', ""Daxing'anling"", 'Irbid', 'Mirpur Model Thana', 'Pallabi', 'Zarqa')",2,3,2,3
"Exactly 2 of the following cities are in Norway and 4 in Tanzania: Dar es Salaam, Arusha, Dodoma, Changshu, Oslo, Zanzibar.",0,"('Norway', 'Tanzania')","('Arusha', 'Changshu', 'Dar es Salaam', 'Dodoma', 'Oslo', 'Zanzibar')",2,4,1,4
"Exactly 2 of the following cities are in Brazil and 1 in Chad: Chengdu, Cuiaba, Baotou, Jaboatao dos Guararapes, New South Memphis, N'Djamena.",1,"('Brazil', 'Chad')","('Baotou', 'Chengdu', 'Cuiaba', 'Jaboatao dos Guararapes', ""N'Djamena"", 'New South Memphis')",2,1,2,1
"Exactly 1 of the following cities are in Sudan and 2 in Iraq: Jamnagar, Karbala, Erbil, N'Djamena, Culiacan, Khartoum North.",1,"('Sudan', 'Iraq')","('Culiacan', 'Erbil', 'Jamnagar', 'Karbala', 'Khartoum North', ""N'Djamena"")",1,2,1,2
"Exactly 1 of the following cities are in Moldova and 4 in Vietnam: Thu GJuc, Bien Hoa, Haiphong, Hue, Chisinau, Can Tho.",0,"('Moldova', 'Vietnam')","('Bien Hoa', 'Can Tho', 'Chisinau', 'Haiphong', 'Hue', 'Thu GJuc')",1,4,1,5
"Exactly 3 of the following cities are in Bangladesh and 3 in the United States: Feira de Santana, Seattle, Comilla, Pallabi, Mirpur Model Thana, Addis Ababa.",0,"('Bangladesh', 'the United States')","('Addis Ababa', 'Comilla', 'Feira de Santana', 'Mirpur Model Thana', 'Pallabi', 'Seattle')",3,3,3,1
"Exactly 1 of the following cities are in South Africa and 4 in Angola: Maianga, Kota Kuala Muda, Hoji ya Henda, Kikolo, Cape Town, Cabinda.",1,"('South Africa', 'Angola')","('Cabinda', 'Cape Town', 'Hoji ya Henda', 'Kikolo', 'Kota Kuala Muda', 'Maianga')",1,4,1,4
"Exactly 1 of the following cities are in Eritrea and 1 in Ghana: Benguela, Asmara, Accra, Hezhou, Dharavi, Benin City.",1,"('Eritrea', 'Ghana')","('Accra', 'Asmara', 'Benguela', 'Benin City', 'Dharavi', 'Hezhou')",1,1,1,1
"Exactly 1 of the following cities are in Yemen and 3 in Ukraine: Mukalla, Odesa, Ibb, Sanaa, Al Hudaydah, Aden.",0,"('Yemen', 'Ukraine')","('Aden', 'Al Hudaydah', 'Ibb', 'Mukalla', 'Odesa', 'Sanaa')",1,3,5,1
