statement,label
(33 + 31) * (7 * 16) = 7171,False
(3 * 9) - (12 * 7) = -56,False
(16 * 17) * (20 + 4) = 6526,False
(27 - 9) - (8 - 13) = 23,True
(27 * 23) * (19 + 1) = 12420,True
(36 / 1) + (7 + 20) = 62,False
(2 - 31) + (17 * 3) = 24,False
(8 - 32) + (5 - 2) = -26,False
(36 + 14) + (11 + 4) = 61,False
(32 + 14) * (6 - 12) = -276,True
(19 + 14) - (17 - 4) = 17,False
(29 * 6) - (9 - 7) = 172,True
(3 - 28) + (1 + 20) = -5,False
(12 - 21) * (2 + 17) = -167,False
(24 - 34) * (9 * 10) = -900,True
(5 + 3) * (2 * 1) = 16,True
(34 - 22) + (15 - 14) = 18,False
(22 + 35) + (12 - 7) = 62,True
(20 + 25) + (11 - 8) = 43,False
(27 + 15) + (3 - 10) = 35,True
(8 / 8) * (15 * 17) = 255,True
(22 + 3) * (4 * 8) = 800,True
(39 - 30) * (13 * 16) = 1872,True
(32 * 29) / (15 - 14) = 928,True
(22 + 29) * (15 * 8) = 6120,True
(12 * 21) + (2 * 12) = 276,True
(16 * 18) + (7 - 18) = 276,False
(13 * 13) * (13 / 1) = 2197,True
(39 - 17) - (13 - 16) = 28,False
(12 + 18) + (17 * 17) = 319,True
(4 - 12) * (7 * 13) = -728,True
(15 / 5) * (12 + 20) = 97,False
(7 - 13) - (17 + 14) = -37,True
(31 * 18) + (5 - 6) = 557,True
(24 + 6) / (2 - 1) = 30,True
(2 + 24) - (13 * 15) = -168,False
(1 - 18) + (9 * 5) = 28,True
(36 + 27) + (16 - 15) = 67,False
(4 - 37) * (6 - 10) = 132,True
(22 - 34) - (15 * 12) = -190,False
(38 * 8) * (16 * 7) = 34046,False
(35 + 35) * (9 - 4) = 351,False
(3 - 28) + (1 + 20) = -4,True
(35 - 20) + (15 - 6) = 29,False
(1 * 17) + (4 + 20) = 45,False
(11 + 31) / (11 - 9) = 21,True
(10 + 21) + (7 + 20) = 55,False
(34 + 21) * (1 - 15) = -772,False
(4 - 37) * (6 - 10) = 130,False
(28 / 14) / (2 / 2) = 0,False
(32 - 33) * (10 * 7) = -70,True
(8 / 8) * (15 * 17) = 256,False
(26 + 11) - (16 * 16) = -219,True
(23 - 6) + (13 * 17) = 239,False
(30 - 14) + (12 + 6) = 34,True
(17 - 14) + (13 * 2) = 28,False
(18 * 17) + (1 + 8) = 317,False
(8 * 6) + (17 * 6) = 150,True
(34 / 17) * (1 - 7) = -15,False
(30 - 21) - (20 * 14) = -269,False
(12 + 2) * (1 * 4) = 56,True
(39 + 1) - (14 + 17) = 4,False
(30 * 15) - (7 - 11) = 454,True
(32 + 14) * (6 - 12) = -275,False
(19 - 37) + (7 + 4) = -6,False
(9 - 38) - (2 - 15) = -18,False
(36 * 35) + (14 + 11) = 1285,True
(30 + 40) - (17 + 14) = 39,True
(39 - 16) * (7 + 10) = 391,True
(16 * 14) - (13 - 14) = 225,True
(8 - 12) + (3 + 20) = 16,False
(17 * 21) - (14 - 11) = 351,False
(38 * 16) * (13 + 2) = 9122,False
(33 + 19) - (14 * 19) = -213,False
(30 + 22) - (5 * 12) = -3,False
(29 + 27) + (15 * 1) = 71,True
(39 * 40) / (6 + 18) = 69,False
(19 - 2) + (15 / 15) = 18,True
(32 + 36) + (3 * 4) = 80,True
(35 / 7) - (12 - 6) = 0,False
(20 + 24) - (19 * 6) = -70,True
(5 + 39) * (13 - 8) = 220,True
(32 + 29) * (12 + 3) = 918,False
(16 + 38) * (20 / 10) = 106,False
(26 * 36) + (14 - 10) = 940,True
(38 * 22) * (1 + 1) = 1672,True
(16 * 17) * (20 + 4) = 6528,True
(15 / 1) * (17 + 20) = 550,False
(38 * 21) - (7 - 10) = 801,True
(33 + 30) - (18 - 3) = 48,True
(5 - 20) + (9 - 8) = -14,True
(37 * 27) - (15 + 9) = 975,True
(21 * 33) / (11 - 14) = -231,True
(25 + 30) - (3 + 1) = 51,True
(13 * 13) * (13 / 1) = 2202,False
(8 * 25) - (3 + 3) = 194,True
(9 - 25) + (6 * 16) = 80,True
(26 + 9) - (2 + 20) = 13,True
(3 * 25) + (19 + 20) = 119,False
(37 / 37) * (9 * 5) = 42,False
(22 * 23) + (1 - 9) = 498,True
(25 + 5) * (13 + 4) = 508,False
(36 + 38) + (9 + 1) = 82,False
(39 * 27) - (16 * 12) = 856,False
(1 - 3) - (15 - 16) = -6,False
(11 - 31) - (8 + 2) = -31,False
(28 + 28) + (13 * 19) = 307,False
(34 - 22) + (15 - 14) = 13,True
(14 / 7) * (8 - 7) = 0,False
(18 * 7) + (3 * 6) = 144,True
(10 * 23) * (15 + 5) = 4600,True
(17 - 30) + (1 * 15) = 2,True
(5 - 2) + (6 * 1) = 4,False
(39 - 16) * (7 + 10) = 386,False
(34 - 32) * (4 - 2) = 1,False
(35 - 20) + (15 - 6) = 24,True
(39 - 12) - (8 * 19) = -130,False
(28 - 33) - (7 * 2) = -19,True
(22 + 16) - (1 - 2) = 42,False
(21 - 14) + (16 - 12) = 11,True
(39 - 30) * (13 * 16) = 1873,False
(34 + 32) + (4 + 8) = 78,True
(26 * 7) / (13 - 6) = 24,False
(25 + 37) + (12 - 5) = 65,False
(30 * 28) / (16 - 18) = -415,False
(21 * 8) + (8 - 3) = 173,True
(32 - 20) * (18 * 20) = 4315,False
(15 + 1) + (6 - 17) = 3,False
(36 + 37) - (12 - 18) = 81,False
(17 - 29) * (20 + 19) = -467,False
(3 - 14) - (12 - 18) = -5,True
(40 + 19) * (16 - 6) = 590,True
(37 + 11) - (12 + 18) = 18,True
(18 + 15) - (2 - 7) = 36,False
(24 * 32) * (17 * 3) = 39168,True
(33 - 11) - (2 * 3) = 21,False
(10 * 13) + (1 + 6) = 137,True
(29 + 13) - (8 + 8) = 22,False
(37 - 37) / (15 + 15) = 0,True
(25 - 21) - (10 + 18) = -24,True
(21 * 17) * (5 * 16) = 28562,False
(34 - 9) - (8 - 16) = 38,False
(34 - 32) * (4 - 2) = 4,True
(6 - 22) - (17 - 20) = -13,True
(25 + 31) - (16 + 1) = 36,False
(12 - 21) * (2 + 17) = -171,True
(22 * 30) - (7 / 1) = 648,False
(32 * 29) / (15 - 14) = 924,False
(2 - 31) + (17 * 3) = 22,True
(15 / 1) * (17 + 20) = 555,True
(40 + 3) + (7 - 6) = 44,True
(5 + 3) + (10 * 20) = 208,True
(20 - 5) * (9 * 13) = 1752,False
(24 + 4) * (11 - 9) = 59,False
(33 * 15) - (18 - 10) = 489,False
(4 - 12) * (7 * 13) = -723,False
(23 * 35) * (16 - 9) = 5635,True
(19 - 37) - (4 * 8) = -47,False
(10 + 22) * (3 + 17) = 640,True
(16 - 19) - (1 * 14) = -17,True
(2 - 28) + (19 - 6) = -9,False
(40 / 4) + (17 * 14) = 247,False
(30 - 14) + (12 + 6) = 38,False
(9 + 22) - (3 + 5) = 19,False
(32 - 31) * (15 * 4) = 57,False
(34 + 16) + (1 * 7) = 57,True
(34 + 32) + (4 + 18) = 84,False
(16 * 18) + (7 - 18) = 277,True
(37 * 35) - (3 + 4) = 1293,False
(15 + 5) * (14 + 2) = 320,True
(15 / 15) - (20 - 11) = -8,True
(24 * 2) + (15 - 20) = 43,True
(35 * 12) + (15 + 12) = 447,True
(25 + 22) - (8 * 2) = 31,True
(21 + 17) + (18 * 9) = 200,True
(6 + 29) * (13 + 9) = 769,False
(7 + 29) - (7 * 13) = -57,False
(2 - 30) * (1 - 7) = 172,False
(17 * 21) - (14 - 11) = 354,True
(32 - 16) - (3 * 7) = -5,True
(21 - 9) + (16 - 17) = 11,True
(12 - 12) - (4 * 11) = -47,False
(22 / 2) + (19 - 14) = 16,True
(10 * 18) / (11 - 5) = 30,True
(1 * 38) * (9 + 13) = 831,False
(36 * 37) * (7 + 18) = 33300,True
(34 + 22) - (10 + 2) = 43,False
(34 + 34) * (12 * 4) = 3266,False
(36 - 11) * (12 * 17) = 5100,True
(11 + 17) - (6 + 11) = 11,True
(31 + 8) + (17 + 6) = 60,False
(18 - 39) - (6 - 1) = -29,False
(28 * 4) * (1 + 12) = 1457,False
(7 - 13) - (17 + 14) = -35,False
(37 * 27) - (15 + 9) = 973,False
(4 * 29) + (3 - 10) = 105,False
(22 * 4) / (10 - 8) = 44,True
(24 - 7) * (7 - 11) = -68,True
(1 + 21) + (18 * 14) = 276,False
(9 - 3) - (3 + 11) = -8,True
(9 + 22) - (3 + 5) = 23,True
(8 - 29) + (20 - 10) = -11,True
(24 * 34) - (19 - 8) = 804,False
(34 - 9) - (8 - 16) = 33,True
(22 + 8) + (18 + 12) = 55,False
(6 + 21) * (5 * 20) = 2700,True
(22 - 14) - (4 + 15) = -10,False
(19 - 27) * (4 - 7) = 25,False
(7 - 17) - (6 - 14) = -2,True
(25 * 5) - (20 - 6) = 112,False
(1 - 40) - (18 - 2) = -55,True
