statement,label,city,country,correct_country
The city of Xining is in China.,1,Xining,China,China
The city of Eskisehir is in Mauritania.,0,Eskisehir,Mauritania,Turkey
The city of Conakry is in Guinea.,1,Conakry,Guinea,Guinea
The city of Jhang Sadr is in Pakistan.,1,Jhang Sadr,Pakistan,Pakistan
The city of Huaihua is in Djibouti.,0,Huaihua,Djibouti,China
The city of Benguela is in India.,0,Benguela,India,Angola
The city of Coyoacan is in India.,0,Coyoacan,India,Mexico
The city of Pingdingshan is in Turkey.,0,Pingdingshan,Turkey,China
The city of Ipoh is in Malaysia.,1,Ipoh,Malaysia,Malaysia
The city of Sevastopol is in Ukraine.,1,Sevastopol,Ukraine,Ukraine
The city of Diyarbakir is in India.,0,Diyarbakir,India,Turkey
The city of Rui'an is in Japan.,0,Rui'an,Japan,China
The city of Coimbatore is in Somalia.,0,Coimbatore,Somalia,India
The city of Almaty is in Turkey.,0,Almaty,Turkey,Kazakhstan
The city of Tonghua is in China.,1,Tonghua,China,China
The city of Nova Iguacu is in the Democratic Republic of the Congo.,0,Nova Iguacu,the Democratic Republic of the Congo,Brazil
The city of Huizhou is in Japan.,0,Huizhou,Japan,China
The city of Xinyang is in Chad.,0,Xinyang,Chad,China
The city of Voronezh is in Russia.,1,Voronezh,Russia,Russia
The city of Mbuji-Mayi is in Somalia.,0,Mbuji-Mayi,Somalia,the Democratic Republic of the Congo
The city of Pontianak is in India.,0,Pontianak,India,Indonesia
The city of Ujjain is in India.,1,Ujjain,India,India
The city of Maceio is in China.,0,Maceio,China,Brazil
The city of Ya'an is in China.,1,Ya'an,China,China
The city of Harare is in Zimbabwe.,1,Harare,Zimbabwe,Zimbabwe
The city of Madinah is in Malaysia.,0,Madinah,Malaysia,Saudi Arabia
The city of Fortaleza is in Brazil.,1,Fortaleza,Brazil,Brazil
The city of Jiamusi is in Lebanon.,0,Jiamusi,Lebanon,China
The city of Kharkiv is in Ukraine.,1,Kharkiv,Ukraine,Ukraine
The city of Serang is in Indonesia.,1,Serang,Indonesia,Indonesia
The city of Da Nang is in Vietnam.,1,Da Nang,Vietnam,Vietnam
The city of Dharavi is in Venezuela.,0,Dharavi,Venezuela,India
The city of Hezhou is in Brazil.,0,Hezhou,Brazil,China
The city of Saratov is in Egypt.,0,Saratov,Egypt,Russia
The city of Kuala Lumpur is in Malaysia.,1,Kuala Lumpur,Malaysia,Malaysia
The city of Istanbul is in Turkey.,1,Istanbul,Turkey,Turkey
The city of Surakarta is in Pakistan.,0,Surakarta,Pakistan,Indonesia
The city of New South Memphis is in South Korea.,0,New South Memphis,South Korea,the United States
The city of Lome is in Iraq.,0,Lome,Iraq,Togo
The city of Zhengzhou is in China.,1,Zhengzhou,China,China
The city of Songjiang is in Ukraine.,0,Songjiang,Ukraine,China
The city of Quetta is in Pakistan.,1,Quetta,Pakistan,Pakistan
The city of Seongnam-si is in Ukraine.,0,Seongnam-si,Ukraine,South Korea
The city of Jingmen is in China.,1,Jingmen,China,China
The city of Enugu is in Nigeria.,1,Enugu,Nigeria,Nigeria
The city of Okara is in China.,0,Okara,China,Pakistan
The city of Konya is in Turkey.,1,Konya,Turkey,Turkey
The city of Banjarmasin is in Nigeria.,0,Banjarmasin,Nigeria,Indonesia
The city of Deyang is in India.,0,Deyang,India,China
The city of Dehradun is in India.,1,Dehradun,India,India
The city of Yangquan is in China.,1,Yangquan,China,China
The city of Novosibirsk is in Russia.,1,Novosibirsk,Russia,Russia
The city of Pingdingshan is in China.,1,Pingdingshan,China,China
The city of Taguig is in the Philippines.,1,Taguig,the Philippines,the Philippines
The city of Nagoya is in Japan.,1,Nagoya,Japan,Japan
The city of Leon de los Aldama is in Somalia.,0,Leon de los Aldama,Somalia,Mexico
The city of Longyan is in China.,1,Longyan,China,China
The city of Bursa is in Turkey.,1,Bursa,Turkey,Turkey
The city of Erode is in India.,1,Erode,India,India
The city of Luzhou is in Brazil.,0,Luzhou,Brazil,China
The city of South Tangerang is in Indonesia.,1,South Tangerang,Indonesia,Indonesia
The city of Hlaingthaya is in Myanmar.,1,Hlaingthaya,Myanmar,Myanmar
The city of Yingkou is in Malaysia.,0,Yingkou,Malaysia,China
The city of Vientiane is in Indonesia.,0,Vientiane,Indonesia,Laos
The city of Faridabad is in India.,1,Faridabad,India,India
The city of Quezon City is in the Philippines.,1,Quezon City,the Philippines,the Philippines
The city of Foshan is in China.,1,Foshan,China,China
The city of Mumbai is in Vietnam.,0,Mumbai,Vietnam,India
The city of Hamhung is in Turkey.,0,Hamhung,Turkey,North Korea
The city of Muzaffarabad is in India.,0,Muzaffarabad,India,Pakistan
The city of Tonghua is in Tajikistan.,0,Tonghua,Tajikistan,China
The city of Taicang is in Nigeria.,0,Taicang,Nigeria,China
The city of Shangqiu is in Uzbekistan.,0,Shangqiu,Uzbekistan,China
The city of Yongzhou is in China.,1,Yongzhou,China,China
The city of Heze is in China.,1,Heze,China,China
The city of Lu'an is in China.,1,Lu'an,China,China
The city of Dar es Salaam is in the Philippines.,0,Dar es Salaam,the Philippines,Tanzania
The city of Kunming is in China.,1,Kunming,China,China
The city of Tehran is in Iran.,1,Tehran,Iran,Iran
The city of Wuzhou is in China.,1,Wuzhou,China,China
The city of Lilongwe is in Malawi.,1,Lilongwe,Malawi,Malawi
The city of Sultanah is in Saudi Arabia.,1,Sultanah,Saudi Arabia,Saudi Arabia
The city of Onitsha is in Nigeria.,1,Onitsha,Nigeria,Nigeria
The city of Vijayawada is in Turkey.,0,Vijayawada,Turkey,India
The city of Ar Raqqah is in Syria.,1,Ar Raqqah,Syria,Syria
The city of Koeln is in Kyrgyzstan.,0,Koeln,Kyrgyzstan,Germany
The city of Zhangjiagang is in Indonesia.,0,Zhangjiagang,Indonesia,China
The city of Huangshi is in China.,1,Huangshi,China,China
The city of Kozhikode is in Yemen.,0,Kozhikode,Yemen,India
The city of Chicago is in the United States.,1,Chicago,the United States,the United States
The city of Aleppo is in Turkey.,0,Aleppo,Turkey,Syria
The city of Meerut is in India.,1,Meerut,India,India
The city of Kota Kuala Muda is in Malaysia.,1,Kota Kuala Muda,Malaysia,Malaysia
The city of Mbuji-Mayi is in the Democratic Republic of the Congo.,1,Mbuji-Mayi,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Shuangyashan is in India.,0,Shuangyashan,India,China
The city of Irbid is in Jordan.,1,Irbid,Jordan,Jordan
The city of Bhubaneswar is in Turkey.,0,Bhubaneswar,Turkey,India
The city of Sungai Petani is in Malawi.,0,Sungai Petani,Malawi,Malaysia
The city of E'zhou is in China.,1,E'zhou,China,China
The city of Visakhapatnam is in China.,0,Visakhapatnam,China,India
The city of Rawalpindi is in Pakistan.,1,Rawalpindi,Pakistan,Pakistan
The city of Yongzhou is in the Philippines.,0,Yongzhou,the Philippines,China
The city of Las Pinas is in the Philippines.,1,Las Pinas,the Philippines,the Philippines
The city of Uberlandia is in Brazil.,1,Uberlandia,Brazil,Brazil
The city of Bishkek is in Iraq.,0,Bishkek,Iraq,Kyrgyzstan
The city of Qom is in Iran.,1,Qom,Iran,Iran
The city of Hwaseong-si is in China.,0,Hwaseong-si,China,South Korea
The city of Gujrat is in Pakistan.,1,Gujrat,Pakistan,Pakistan
The city of Gold Coast is in Australia.,1,Gold Coast,Australia,Australia
The city of Acapulco de Juarez is in Mali.,0,Acapulco de Juarez,Mali,Mexico
The city of Tomsk is in Russia.,1,Tomsk,Russia,Russia
The city of Oklahoma City is in Russia.,0,Oklahoma City,Russia,the United States
The city of Bengbu is in China.,1,Bengbu,China,China
The city of Ciudad Guayana is in Venezuela.,1,Ciudad Guayana,Venezuela,Venezuela
The city of Kikwit is in the Democratic Republic of the Congo.,1,Kikwit,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Helsinki is in Finland.,1,Helsinki,Finland,Finland
The city of Yangon is in Myanmar.,1,Yangon,Myanmar,Myanmar
The city of Ilorin is in India.,0,Ilorin,India,Nigeria
The city of Kolwezi is in the Democratic Republic of the Congo.,1,Kolwezi,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Ulanqab is in China.,1,Ulanqab,China,China
The city of Esenler is in Turkey.,1,Esenler,Turkey,Turkey
The city of Nakuru is in Kenya.,1,Nakuru,Kenya,Kenya
The city of Piura is in China.,0,Piura,China,Peru
The city of Ryazan' is in Russia.,1,Ryazan',Russia,Russia
The city of Nairobi is in Vietnam.,0,Nairobi,Vietnam,Kenya
The city of Lodz is in China.,0,Lodz,China,Poland
The city of Neijiang is in China.,1,Neijiang,China,China
The city of Suginami is in China.,0,Suginami,China,Japan
The city of Zhoushan is in Jordan.,0,Zhoushan,Jordan,China
The city of Qingpu is in Turkey.,0,Qingpu,Turkey,China
The city of Ryazan' is in Saudi Arabia.,0,Ryazan',Saudi Arabia,Russia
The city of Isfahan is in Iran.,1,Isfahan,Iran,Iran
The city of Liuzhou is in India.,0,Liuzhou,India,China
The city of Dombivali is in Iraq.,0,Dombivali,Iraq,India
The city of Jilin is in India.,0,Jilin,India,China
The city of Contagem is in Brazil.,1,Contagem,Brazil,Brazil
The city of Mexico City is in Guatemala.,0,Mexico City,Guatemala,Mexico
The city of Tianjin is in India.,0,Tianjin,India,China
The city of Nanning is in Iraq.,0,Nanning,Iraq,China
The city of Shangluo is in Saudi Arabia.,0,Shangluo,Saudi Arabia,China
The city of Anyang-si is in South Korea.,1,Anyang-si,South Korea,South Korea
The city of Callao is in Brazil.,0,Callao,Brazil,Peru
The city of Las Pinas is in Turkey.,0,Las Pinas,Turkey,the Philippines
The city of Rostov-on-Don is in Russia.,1,Rostov-on-Don,Russia,Russia
The city of Adachi is in Jamaica.,0,Adachi,Jamaica,Japan
The city of Agadir is in Morocco.,1,Agadir,Morocco,Morocco
The city of Balikpapan is in Ukraine.,0,Balikpapan,Ukraine,Indonesia
The city of Jiaozhou is in Ecuador.,0,Jiaozhou,Ecuador,China
The city of Suining is in China.,1,Suining,China,China
The city of Sao Bernardo do Campo is in Brazil.,1,Sao Bernardo do Campo,Brazil,Brazil
The city of Aihara is in Japan.,1,Aihara,Japan,Japan
The city of Wuwei is in China.,1,Wuwei,China,China
The city of Seattle is in China.,0,Seattle,China,the United States
The city of Qingdao is in India.,0,Qingdao,India,China
The city of Itabashi is in China.,0,Itabashi,China,Japan
The city of Qingdao is in China.,1,Qingdao,China,China
The city of Najran is in Saudi Arabia.,1,Najran,Saudi Arabia,Saudi Arabia
The city of Saratov is in Russia.,1,Saratov,Russia,Russia
The city of Islamabad is in Pakistan.,1,Islamabad,Pakistan,Pakistan
The city of Najafgarh is in China.,0,Najafgarh,China,India
The city of Zaozhuang is in South Korea.,0,Zaozhuang,South Korea,China
The city of Lu'an is in Indonesia.,0,Lu'an,Indonesia,China
The city of Makassar is in Indonesia.,1,Makassar,Indonesia,Indonesia
The city of Calumbo is in Brazil.,0,Calumbo,Brazil,Angola
The city of Vinh is in China.,0,Vinh,China,Vietnam
The city of Nellore is in India.,1,Nellore,India,India
The city of Barranquilla is in Colombia.,1,Barranquilla,Colombia,Colombia
The city of Qom is in China.,0,Qom,China,Iran
The city of Brasilia is in Brazil.,1,Brasilia,Brazil,Brazil
The city of Marseille is in China.,0,Marseille,China,France
The city of Nuremberg is in Germany.,1,Nuremberg,Germany,Germany
The city of Yichang is in China.,1,Yichang,China,China
The city of Nanchong is in Malaysia.,0,Nanchong,Malaysia,China
The city of Cheongju-si is in South Korea.,1,Cheongju-si,South Korea,South Korea
The city of Denpasar is in Indonesia.,1,Denpasar,Indonesia,Indonesia
The city of Chelyabinsk is in Russia.,1,Chelyabinsk,Russia,Russia
The city of Libreville is in the Philippines.,0,Libreville,the Philippines,Gabon
The city of Muzaffarabad is in Pakistan.,1,Muzaffarabad,Pakistan,Pakistan
The city of Dera Ismail Khan is in Pakistan.,1,Dera Ismail Khan,Pakistan,Pakistan
The city of Weinan is in Ukraine.,0,Weinan,Ukraine,China
The city of Chengdu is in China.,1,Chengdu,China,China
The city of Bekasi is in Indonesia.,1,Bekasi,Indonesia,Indonesia
The city of Jiujiang is in India.,0,Jiujiang,India,China
The city of Nay Pyi Taw is in Myanmar.,1,Nay Pyi Taw,Myanmar,Myanmar
The city of Al Fayyum is in Malaysia.,0,Al Fayyum,Malaysia,Egypt
The city of Nouakchott is in Mauritania.,1,Nouakchott,Mauritania,Mauritania
The city of Chisinau is in Moldova.,1,Chisinau,Moldova,Moldova
The city of Mengzi is in Venezuela.,0,Mengzi,Venezuela,China
The city of New South Memphis is in the United States.,1,New South Memphis,the United States,the United States
The city of Faridabad is in Indonesia.,0,Faridabad,Indonesia,India
The city of Binh Thanh is in Vietnam.,1,Binh Thanh,Vietnam,Vietnam
The city of Juiz de Fora is in Brazil.,1,Juiz de Fora,Brazil,Brazil
The city of Florianopolis is in the United States.,0,Florianopolis,the United States,Brazil
The city of Kimhae is in China.,0,Kimhae,China,South Korea
The city of Antananarivo is in Madagascar.,1,Antananarivo,Madagascar,Madagascar
The city of Teresina is in Brazil.,1,Teresina,Brazil,Brazil
The city of UEskuedar is in Turkey.,1,UEskuedar,Turkey,Turkey
The city of Sanmenxia is in India.,0,Sanmenxia,India,China
The city of Maoming is in Colombia.,0,Maoming,Colombia,China
The city of Gurugram is in Germany.,0,Gurugram,Germany,India
The city of Kalaburagi is in India.,1,Kalaburagi,India,India
The city of Sukkur is in the Philippines.,0,Sukkur,the Philippines,Pakistan
The city of Tangerang is in Indonesia.,1,Tangerang,Indonesia,Indonesia
The city of Gurugram is in India.,1,Gurugram,India,India
The city of Maturin is in Venezuela.,1,Maturin,Venezuela,Venezuela
The city of Malingao is in the Philippines.,1,Malingao,the Philippines,the Philippines
The city of Lueliang is in China.,1,Lueliang,China,China
The city of Andijon is in Uzbekistan.,1,Andijon,Uzbekistan,Uzbekistan
The city of Jiaxing is in China.,1,Jiaxing,China,China
The city of Kermanshah is in Iran.,1,Kermanshah,Iran,Iran
The city of Islamabad is in New Zealand.,0,Islamabad,New Zealand,Pakistan
The city of Pekanbaru is in Indonesia.,1,Pekanbaru,Indonesia,Indonesia
The city of Changchun is in Pakistan.,0,Changchun,Pakistan,China
The city of Gazipur is in India.,0,Gazipur,India,Bangladesh
The city of Can Tho is in Vietnam.,1,Can Tho,Vietnam,Vietnam
The city of Makassar is in Colombia.,0,Makassar,Colombia,Indonesia
The city of Kakamega is in India.,0,Kakamega,India,Kenya
The city of Hangzhou is in Indonesia.,0,Hangzhou,Indonesia,China
The city of Marseille is in France.,1,Marseille,France,France
The city of Bhayandar is in China.,0,Bhayandar,China,India
The city of Luohu District is in China.,1,Luohu District,China,China
The city of Kaifeng is in China.,1,Kaifeng,China,China
The city of Changde is in India.,0,Changde,India,China
The city of Muntinlupa is in China.,0,Muntinlupa,China,the Philippines
The city of Sofia is in Bulgaria.,1,Sofia,Bulgaria,Bulgaria
The city of Pasir Gudang is in Côte d'Ivoire.,0,Pasir Gudang,Côte d'Ivoire,Malaysia
The city of Fushun is in Indonesia.,0,Fushun,Indonesia,China
The city of Rangpur is in Bosnia and Herzegovina.,0,Rangpur,Bosnia and Herzegovina,Bangladesh
The city of Gaziantep is in Ghana.,0,Gaziantep,Ghana,Turkey
The city of Qionghai is in Tanzania.,0,Qionghai,Tanzania,China
The city of Amritsar is in China.,0,Amritsar,China,India
The city of Jinan is in China.,1,Jinan,China,China
The city of Kashgar is in China.,1,Kashgar,China,China
The city of Jilin is in China.,1,Jilin,China,China
The city of Naberezhnyye Chelny is in China.,0,Naberezhnyye Chelny,China,Russia
The city of Cape Town is in Pakistan.,0,Cape Town,Pakistan,South Africa
The city of Xinyu is in India.,0,Xinyu,India,China
The city of Meknes is in Morocco.,1,Meknes,Morocco,Morocco
The city of Bandar Lampung is in Vietnam.,0,Bandar Lampung,Vietnam,Indonesia
The city of Huzhou is in South Korea.,0,Huzhou,South Korea,China
The city of Puducherry is in India.,1,Puducherry,India,India
The city of Ulan Bator is in China.,0,Ulan Bator,China,Mongolia
The city of Nanded is in India.,1,Nanded,India,India
The city of Subang Jaya is in Germany.,0,Subang Jaya,Germany,Malaysia
The city of Hue is in Vietnam.,1,Hue,Vietnam,Vietnam
