condition,layer,task_i,task_j,cosine_similarity
no-prompt,0,A1,A1,0.9999999999986352
no-prompt,0,A1,A2,0.0661546217858928
no-prompt,0,A1,A3,0.03563382515602191
no-prompt,0,A1,F0,-1.14723456493399e-12
no-prompt,0,A1,F1,-7.857135436713324e-13
no-prompt,0,A1,F2,-4.605817722939944e-13
no-prompt,0,A1,F3,0.00021627942653810485
no-prompt,0,A1,F4,0.0002163450608790539
no-prompt,0,A1,F5,-0.00021633830900862937
no-prompt,0,A2,A1,0.0661546217858928
no-prompt,0,A2,A2,0.9999999999987655
no-prompt,0,A2,A3,0.04716172902579883
no-prompt,0,A2,F0,7.25316981309576e-13
no-prompt,0,A2,F1,-1.957038928255357e-12
no-prompt,0,A2,F2,-3.783404833228396e-13
no-prompt,0,A2,F3,-5.0083664588137616e-05
no-prompt,0,A2,F4,-5.013449876786448e-05
no-prompt,0,A2,F5,5.002858816045209e-05
no-prompt,0,A3,A1,0.03563382515602191
no-prompt,0,A3,A2,0.04716172902579883
no-prompt,0,A3,A3,0.9999999999990481
no-prompt,0,A3,F0,4.0410931837729303e-13
no-prompt,0,A3,F1,-2.616281944959981e-14
no-prompt,0,A3,F2,1.6078153173150125e-12
no-prompt,0,A3,F3,-0.00022839909406273233
no-prompt,0,A3,F4,-0.00022833301671245547
no-prompt,0,A3,F5,0.00022840856234894948
no-prompt,0,F0,A1,-1.14723456493399e-12
no-prompt,0,F0,A2,7.25316981309576e-13
no-prompt,0,F0,A3,4.0410931837729303e-13
no-prompt,0,F0,F0,1.4552907804367238e-31
no-prompt,0,F0,F1,3.365178111776242e-33
no-prompt,0,F0,F2,2.9018883495369004e-33
no-prompt,0,F0,F3,1.8363659085238914e-14
no-prompt,0,F0,F4,3.682582242102954e-15
no-prompt,0,F0,F5,-3.708423086509357e-15
no-prompt,0,F1,A1,-7.857135436713324e-13
no-prompt,0,F1,A2,-1.957038928255357e-12
no-prompt,0,F1,A3,-2.616281944959981e-14
no-prompt,0,F1,F0,3.365178111776242e-33
no-prompt,0,F1,F1,1.3900282779395356e-31
no-prompt,0,F1,F2,1.4858472201576527e-33
no-prompt,0,F1,F3,3.033612330333031e-14
no-prompt,0,F1,F4,6.078744221518368e-15
no-prompt,0,F1,F5,-6.126390395163911e-15
no-prompt,0,F2,A1,-4.605817722939944e-13
no-prompt,0,F2,A2,-3.783404833228396e-13
no-prompt,0,F2,A3,1.6078153173150125e-12
no-prompt,0,F2,F0,2.9018883495369004e-33
no-prompt,0,F2,F1,1.4858472201576527e-33
no-prompt,0,F2,F2,1.4099606368737361e-31
no-prompt,0,F2,F3,9.822444573072239e-15
no-prompt,0,F2,F4,1.9671463286619494e-15
no-prompt,0,F2,F5,-1.984961254899255e-15
no-prompt,0,F3,A1,0.00021627942653810485
no-prompt,0,F3,A2,-5.0083664588137616e-05
no-prompt,0,F3,A3,-0.00022839909406273233
no-prompt,0,F3,F0,1.8363659085238914e-14
no-prompt,0,F3,F1,3.033612330333031e-14
no-prompt,0,F3,F2,9.822444573072239e-15
no-prompt,0,F3,F3,0.9999999996233288
no-prompt,0,F3,F4,0.9999999972834286
no-prompt,0,F3,F5,-0.9999999979500895
no-prompt,0,F4,A1,0.0002163450608790539
no-prompt,0,F4,A2,-5.013449876786448e-05
no-prompt,0,F4,A3,-0.00022833301671245547
no-prompt,0,F4,F0,3.682582242102954e-15
