layer,probe_source,tG_component,tP_component,residual,tG_tP_cosine,tP_over_tG_ratio
0,F0,0.40703815335160315,0.5946540866123062,0.005943024997354296,0.9929297379278136,1.4609296001232048
0,F1,3.1406201905369686,-2.1905066433185856,0.0019934518426349846,0.9929297379278136,0.697475820195681
1,F0,0.5847437957430383,0.5500603130023995,0.0925030739868698,0.5393404202251812,0.9406860183997219
1,F1,1.067378400398275,-1.0136800181910086,0.016352926123805334,0.5393404202251812,0.9496913351551995
2,F0,0.5337241908394198,0.7647165688832409,0.12950338938026282,0.1391358353293728,1.4327935327028982
2,F1,0.6412769885805432,-0.8613967923686281,0.02179379475281689,0.1391358353293728,1.343252303928718
3,F0,0.5712269548153485,0.7342585909130489,0.20397457147240838,0.1108155698971515,1.2854060627253063
3,F1,0.677446636012262,-0.8135552526969626,0.036657386617320084,0.1108155698971515,1.2009141524189901
4,F0,0.5154753857260896,0.790706497578346,0.26547184533007534,0.04734302750652498,1.5339364778068632
4,F1,0.6045320143300201,-0.8213168595567357,0.0836210039800477,0.04734302750652498,1.3585994456647783
5,F0,0.4608699886585697,0.842674233780555,0.2916590298842324,-0.00974075911702742,1.8284424122114233
5,F1,0.5224602340173989,-0.829921109400846,0.17268199718158406,-0.00974075911702742,1.5884866547979601
6,F0,0.5181684454106951,0.8577995480030511,0.33371615531294757,-0.1301339037644939,1.6554453587414273
6,F1,0.49805042747736133,-0.7563912193390144,0.2859539453821305,-0.1301339037644939,1.5187040861878935
7,F0,0.5496312435070431,0.8033832462451428,0.3537765362559114,-0.08229483682791933,1.4616768164733824
7,F1,0.5182768141435936,-0.745866017724665,0.33383907506330823,-0.08229483682791933,1.4391267318328782
8,F0,0.47111205607169776,0.7866667669111326,0.4086604261351468,-0.010515806856911555,1.6698081842119983
8,F1,0.48805209110233416,-0.7615223054321509,0.4172196466355707,-0.010515806856911555,1.5603299715622274
9,F0,0.49741268214528794,0.7599493326705592,0.44438219405245466,-0.029652458577338482,1.5278044970454931
9,F1,0.5081176334439377,-0.7421838067884436,0.41062731731724583,-0.029652458577338482,1.4606535139443664
10,F0,0.5506796557520102,0.7308010442926132,0.46737278571208357,-0.06927241650162597,1.327089237195991
10,F1,0.5175034754330473,-0.7094552314755788,0.42189721865999136,-0.06927241650162597,1.3709187766913742
11,F0,0.6089689933824681,0.7022299328611067,0.5090631029453864,-0.14394874148221118,1.1531456289087483
11,F1,0.5106745049500572,-0.6671351505135011,0.4427851928770409,-0.14394874148221118,1.306380373497281
12,F0,0.6386152059391943,0.6867864608444739,0.5112276344867855,-0.16058051911018528,1.0754307984780287
12,F1,0.5252212882976935,-0.6291708613192941,0.4713359954441564,-0.16058051911018528,1.197915764909903
13,F0,0.608092958453122,0.664076900006865,0.5281987144397596,-0.11114961226530715,1.09206477525256
13,F1,0.5357691219239022,-0.6370989370742968,0.48080897189607447,-0.11114961226530715,1.1891296287948407
14,F0,0.58254472916755,0.639106036983329,0.5502681116973465,-0.06796775265282216,1.0970935019796806
14,F1,0.5295646742343628,-0.638945219026499,0.5150871673220758,-0.06796775265282216,1.2065480386301646
15,F0,0.5478408080633174,0.6339294233907886,0.5686704949904346,-0.036542985720647764,1.1571416624304562
15,F1,0.4997941964213217,-0.6677893968886581,0.5290276022186751,-0.036542985720647764,1.3361287539329127
16,F0,0.5117636777715169,0.6110391801816049,0.6096291747784391,-0.011062404033939177,1.193987003613056
16,F1,0.5096245019160941,-0.6752876076554548,0.5259804704734025,-0.011062404033939177,1.3250689578604893
17,F0,0.5008834143378502,0.5854025809175484,0.6546519068648375,-0.03776972538245277,1.1687401981362484
17,F1,0.47953911755092543,-0.6571160092973162,0.5607471545900521,-0.03776972538245277,1.3703074165292937
18,F0,0.47852438245484946,0.5662757804543946,0.6864832028123826,-0.03858806950366149,1.183379157292244
18,F1,0.4745772259581182,-0.6458471782376243,0.5779299819808725,-0.03858806950366149,1.360889530533983
19,F0,0.4549341649230968,0.5347234041371606,0.723049114589754,-0.03225763775719409,1.1753863423873128
19,F1,0.4793683099077707,-0.6354544924500198,0.588855891479895,-0.03225763775719409,1.3256080540053934
20,F0,0.4370883641320726,0.5337294689365216,0.7439368293869694,-0.06291687273065624,1.2211019847099531
20,F1,0.44786335443272335,-0.6161770551786174,0.6204988727157945,-0.06291687273065624,1.3758148530765801
21,F0,0.4135760643361213,0.4996585435029459,0.7716889066596979,-0.0392159062378251,1.2081418307024063
21,F1,0.45469971893365685,-0.6062949528586827,0.635635455541015,-0.0392159062378251,1.3333963660219703
22,F0,0.3920694035425466,0.4879627611742523,0.7879308119348617,-0.03308967309691587,1.2445826090075274
